Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Fname,Customer Id,Customer Lname,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Name,Product Price,Shipping Mode
DEBIT,0,0,-140.73,191.99,Shipping on time,0,48,Water Sports,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725,7,Fan Shop,18.02537537,-66.61508179,LATAM,Vassouras,Brasil,3,8,0.04,199.99,-0.73,1,199.99,191.99,-140.73,South America,Río de Janeiro,COMPLETE,Pelican Sunstream 100 Kayak,199.99,Same Day
DEBIT,0,0,11.4,189.99,Shipping on time,0,48,Water Sports,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725,7,Fan Shop,18.02537537,-66.61508179,LATAM,Los Mochis,México,3,10,0.05,199.99,0.06,1,199.99,189.99,11.4,Central America,Sinaloa,COMPLETE,Pelican Sunstream 100 Kayak,199.99,Same Day
DEBIT,0,0,46.51,98.96,Shipping on time,0,46,Indoor/Outdoor Games,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725,7,Fan Shop,18.02537537,-66.61508179,LATAM,Los Mochis,México,3,1,0.01,49.98,0.47,2,99.96,98.96,46.51,Central America,Sinaloa,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,Same Day
DEBIT,4,4,-274.39,391.98,Shipping on time,0,45,Fishing,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725,7,Fan Shop,18.02537537,-66.61508179,USCA,Yonkers,Estados Unidos,3,8,0.02,399.98,-0.7,1,399.98,391.98,-274.39,East of USA,Nueva York,COMPLETE,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class
TRANSFER,4,4,83.69,269.98,Shipping on time,0,43,Camping & Hiking,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725,7,Fan Shop,18.02537537,-66.61508179,LATAM,Tegucigalpa,Honduras,3,30,0.1,299.98,0.31,1,299.98,269.98,83.69,Central America,Francisco Morazán,PENDING,Diamondback Women's Serene Classic Comfort Bi,299.98,Standard Class
TRANSFER,4,4,108.23,263.98,Shipping on time,0,43,Camping & Hiking,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725,7,Fan Shop,18.02537537,-66.61508179,LATAM,Tegucigalpa,Honduras,3,36,0.12,299.98,0.41,1,299.98,263.98,108.23,Central America,Francisco Morazán,PENDING,Diamondback Women's Serene Classic Comfort Bi,299.98,Standard Class
TRANSFER,4,4,11.25,90,Shipping on time,0,24,Women's Apparel,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725,5,Golf,18.02537537,-66.61508179,LATAM,Tegucigalpa,Honduras,3,10,0.1,50,0.13,2,100,90,11.25,Central America,Francisco Morazán,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class
TRANSFER,4,4,66.62,141.75,Shipping on time,0,24,Women's Apparel,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725,5,Golf,18.02537537,-66.61508179,LATAM,Tegucigalpa,Honduras,3,8.25,0.06,50,0.47,3,150,141.75,66.62,Central America,Francisco Morazán,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class
DEBIT,0,0,43.16,107.89,Shipping on time,0,18,Men's Footwear,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725,4,Apparel,18.02537537,-66.61508179,LATAM,Vassouras,Brasil,3,22.1,0.17,129.99,0.4,1,129.99,107.89,43.16,South America,Río de Janeiro,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Same Day
DEBIT,0,0,2.99,248.98,Shipping on time,0,43,Camping & Hiking,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725,7,Fan Shop,18.02537537,-66.61508179,LATAM,Vassouras,Brasil,3,51,0.17,299.98,0.01,1,299.98,248.98,2.99,South America,Río de Janeiro,COMPLETE,Diamondback Women's Serene Classic Comfort Bi,299.98,Same Day
DEBIT,0,0,39.36,245.98,Shipping on time,0,43,Camping & Hiking,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725,7,Fan Shop,18.02537537,-66.61508179,LATAM,Vassouras,Brasil,3,54,0.18,299.98,0.16,1,299.98,245.98,39.36,South America,Río de Janeiro,COMPLETE,Diamondback Women's Serene Classic Comfort Bi,299.98,Same Day
DEBIT,0,0,117.58,235.16,Shipping on time,0,17,Cleats,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725,4,Apparel,18.02537537,-66.61508179,LATAM,Los Mochis,México,3,4.8,0.02,59.99,0.5,4,239.96,235.16,117.58,Central America,Sinaloa,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Same Day
DEBIT,0,0,111.73,232.76,Shipping on time,0,17,Cleats,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725,4,Apparel,18.02537537,-66.61508179,LATAM,Los Mochis,México,3,7.2,0.03,59.99,0.48,4,239.96,232.76,111.73,Central America,Sinaloa,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Same Day
TRANSFER,4,4,76.99,245.96,Shipping on time,0,17,Cleats,Caguas,Puerto Rico,Ann,3,Smith,Consumer,PR,3422 Blue Pioneer Bend,725,4,Apparel,18.02537537,-66.61508179,LATAM,Tegucigalpa,Honduras,3,53.99,0.18,59.99,0.31,5,299.95,245.96,76.99,Central America,Francisco Morazán,PENDING,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
DEBIT,5,4,-445.21,251.96,Late delivery,1,17,Cleats,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069,4,Apparel,33.67002106,-112.2470779,Pacific Asia,Mersin,Turquía,4,47.99,0.16,59.99,-1.77,5,299.95,251.96,-445.21,West Asia,Mersin,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
CASH,3,4,17.22,49.19,Advance shipping,0,17,Cleats,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069,4,Apparel,33.67002106,-112.2470779,Africa,Benin City,Nigeria,4,10.8,0.18,59.99,0.35,1,59.99,49.19,17.22,West Africa,Edo,CLOSED,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
CASH,3,4,33.25,98.38,Advance shipping,0,17,Cleats,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069,4,Apparel,33.67002106,-112.2470779,Africa,Benin City,Nigeria,4,21.6,0.18,59.99,0.34,2,119.98,98.38,33.25,West Africa,Edo,CLOSED,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
CASH,3,4,-70.36,95.98,Advance shipping,0,17,Cleats,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069,4,Apparel,33.67002106,-112.2470779,Africa,Benin City,Nigeria,4,24,0.2,59.99,-0.73,2,119.98,95.98,-70.36,West Africa,Edo,CLOSED,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
DEBIT,2,1,-41.77,56.99,Late delivery,1,17,Cleats,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069,4,Apparel,33.67002106,-112.2470779,LATAM,Bayeux,Brasil,4,3,0.05,59.99,-0.73,1,59.99,56.99,-41.77,South America,Paraíba,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,First Class
DEBIT,2,1,48.66,143.98,Late delivery,1,17,Cleats,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069,4,Apparel,33.67002106,-112.2470779,LATAM,Bayeux,Brasil,4,35.99,0.2,59.99,0.34,3,179.97,143.98,48.66,South America,Paraíba,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,First Class
DEBIT,2,1,59.39,134.98,Late delivery,1,17,Cleats,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069,4,Apparel,33.67002106,-112.2470779,LATAM,Bayeux,Brasil,4,44.99,0.25,59.99,0.44,3,179.97,134.98,59.39,South America,Paraíba,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,First Class
DEBIT,2,1,26.99,119.95,Late delivery,1,40,Accessories,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069,6,Outdoors,33.67002106,-112.2470779,LATAM,Bayeux,Brasil,4,5,0.04,24.99,0.23,5,124.95,119.95,26.99,South America,Paraíba,COMPLETE,Team Golf Texas Longhorns Putter Grip,24.99,First Class
DEBIT,1,0,3.37,18.74,Late delivery,1,40,Accessories,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069,6,Outdoors,33.67002106,-112.2470779,LATAM,Santiago de Cuba,Cuba,4,6.25,0.25,24.99,0.18,1,24.99,18.74,3.37,Caribbean,Santiago de Cuba,COMPLETE,Team Golf St. Louis Cardinals Putter Grip,24.99,Same Day
DEBIT,1,0,23.23,70.38,Late delivery,1,29,Shop By Sport,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069,5,Golf,33.67002106,-112.2470779,LATAM,Santiago de Cuba,Cuba,4,9.6,0.12,39.99,0.33,2,79.98,70.38,23.23,Caribbean,Santiago de Cuba,COMPLETE,Under Armour Girls' Toddler Spine Surge Runni,39.99,Same Day
DEBIT,5,4,11.88,118.78,Late delivery,1,17,Cleats,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069,4,Apparel,33.67002106,-112.2470779,Pacific Asia,Mersin,Turquía,4,1.2,0.01,59.99,0.1,2,119.98,118.78,11.88,West Asia,Mersin,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
DEBIT,5,4,-21,84,Late delivery,1,24,Women's Apparel,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069,5,Golf,33.67002106,-112.2470779,Pacific Asia,Mersin,Turquía,4,16,0.16,50,-0.25,2,100,84,-21,West Asia,Mersin,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class
DEBIT,1,0,-119.92,139.44,Late delivery,1,46,Indoor/Outdoor Games,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069,7,Fan Shop,33.67002106,-112.2470779,LATAM,Santiago de Cuba,Cuba,4,10.5,0.07,49.98,-0.86,3,149.94,139.44,-119.92,Caribbean,Santiago de Cuba,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,Same Day
DEBIT,1,0,34.29,97.96,Late delivery,1,46,Indoor/Outdoor Games,San Marcos,EE. UU.,Mary,4,Jones,Consumer,CA,8324 Little Common,92069,7,Fan Shop,33.67002106,-112.2470779,LATAM,Santiago de Cuba,Cuba,4,2,0.02,49.98,0.35,2,99.96,97.96,34.29,Caribbean,Santiago de Cuba,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,Same Day
PAYMENT,3,4,78.91,208.77,Advance shipping,0,17,Cleats,Caguas,Puerto Rico,Robert,5,Hudson,Home Office,PR,10 Crystal River Mall ,725,4,Apparel,18.35910416,-66.07791138,Africa,Lagos,Nigeria,5,31.19,0.13,59.99,0.38,4,239.96,208.77,78.91,West Africa,Lagos,PENDING_PAYMENT,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
TRANSFER,3,2,51.16,106.59,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,Robert,5,Hudson,Home Office,PR,10 Crystal River Mall ,725,4,Apparel,18.35910416,-66.07791138,USCA,Waco,Estados Unidos,5,23.4,0.18,129.99,0.48,1,129.99,106.59,51.16,US Center ,Texas,PROCESSING,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Second Class
TRANSFER,3,2,53.55,254.98,Late delivery,1,43,Camping & Hiking,Caguas,Puerto Rico,Robert,5,Hudson,Home Office,PR,10 Crystal River Mall ,725,7,Fan Shop,18.35910416,-66.07791138,USCA,Waco,Estados Unidos,5,45,0.15,299.98,0.21,1,299.98,254.98,53.55,US Center ,Texas,PROCESSING,Diamondback Women's Serene Classic Comfort Bi,299.98,Second Class
TRANSFER,3,2,47.92,145.21,Late delivery,1,11,Fitness Accessories,Caguas,Puerto Rico,Robert,5,Hudson,Home Office,PR,10 Crystal River Mall ,725,3,Footwear,18.35910416,-66.07791138,USCA,Waco,Estados Unidos,5,29.74,0.17,34.99,0.33,5,174.95,145.21,47.92,US Center ,Texas,PROCESSING,Under Armour Hustle Storm Medium Duffle Bag,34.99,Second Class
TRANSFER,3,2,21.77,197.92,Late delivery,1,46,Indoor/Outdoor Games,Caguas,Puerto Rico,Robert,5,Hudson,Home Office,PR,10 Crystal River Mall ,725,7,Fan Shop,18.35910416,-66.07791138,USCA,Waco,Estados Unidos,5,2,0.01,49.98,0.11,4,199.92,197.92,21.77,US Center ,Texas,PROCESSING,O'Brien Men's Neoprene Life Vest,49.98,Second Class
TRANSFER,3,2,27.29,90.96,Late delivery,1,46,Indoor/Outdoor Games,Caguas,Puerto Rico,Robert,5,Hudson,Home Office,PR,10 Crystal River Mall ,725,7,Fan Shop,18.35910416,-66.07791138,USCA,Waco,Estados Unidos,5,9,0.09,49.98,0.3,2,99.96,90.96,27.29,US Center ,Texas,PROCESSING,O'Brien Men's Neoprene Life Vest,49.98,Second Class
DEBIT,4,4,29.25,97.49,Shipping on time,0,18,Men's Footwear,Caguas,Puerto Rico,Robert,5,Hudson,Home Office,PR,10 Crystal River Mall ,725,4,Apparel,18.35910416,-66.07791138,Africa,Kinshasa,República Democrática del Congo,5,32.5,0.25,129.99,0.3,1,129.99,97.49,29.25,Central Africa,Kinshasa,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class
TRANSFER,6,4,75.2,160,Late delivery,1,24,Women's Apparel,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055,5,Golf,40.87154007,-74.12263489,LATAM,Cancún,México,6,40,0.2,50,0.47,4,200,160,75.2,Central America,Quintana Roo,PROCESSING,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class
TRANSFER,6,4,215.98,479.95,Late delivery,1,9,Cardio Equipment,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055,3,Footwear,40.87154007,-74.12263489,LATAM,Cancún,México,6,20,0.04,99.99,0.45,5,499.95,479.95,215.98,Central America,Quintana Roo,PROCESSING,Nike Men's Free 5.0+ Running Shoe,99.99,Standard Class
TRANSFER,6,4,56.83,195.95,Late delivery,1,29,Shop By Sport,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055,5,Golf,40.87154007,-74.12263489,LATAM,Cancún,México,6,4,0.02,39.99,0.29,5,199.95,195.95,56.83,Central America,Quintana Roo,PROCESSING,Under Armour Girls' Toddler Spine Surge Runni,39.99,Standard Class
PAYMENT,6,2,25.48,91,Late delivery,1,24,Women's Apparel,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055,5,Golf,40.87154007,-74.12263489,USCA,Carrollton,Estados Unidos,6,9,0.09,50,0.28,2,100,91,25.48,US Center ,Texas,PENDING_PAYMENT,Nike Men's Dri-FIT Victory Golf Polo,50,Second Class
PAYMENT,6,2,143.99,299.97,Late delivery,1,9,Cardio Equipment,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055,3,Footwear,40.87154007,-74.12263489,USCA,Carrollton,Estados Unidos,6,0,0,99.99,0.48,3,299.97,299.97,143.99,US Center ,Texas,PENDING_PAYMENT,Nike Men's Free 5.0+ Running Shoe,99.99,Second Class
PAYMENT,6,2,111.04,236.25,Late delivery,1,24,Women's Apparel,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055,5,Golf,40.87154007,-74.12263489,USCA,Carrollton,Estados Unidos,6,13.75,0.06,50,0.47,5,250,236.25,111.04,US Center ,Texas,PENDING_PAYMENT,Nike Men's Dri-FIT Victory Golf Polo,50,Second Class
PAYMENT,3,4,19.07,116.99,Advance shipping,0,18,Men's Footwear,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055,4,Apparel,40.87154007,-74.12263489,Pacific Asia,Baguio City,Filipinas,6,13,0.1,129.99,0.16,1,129.99,116.99,19.07,Southeast Asia,Cordillera,PENDING_PAYMENT,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class
PAYMENT,3,4,91.52,351.98,Advance shipping,0,45,Fishing,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055,7,Fan Shop,40.87154007,-74.12263489,Pacific Asia,Baguio City,Filipinas,6,48,0.12,399.98,0.26,1,399.98,351.98,91.52,Southeast Asia,Cordillera,PENDING_PAYMENT,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class
PAYMENT,3,4,0,189.99,Advance shipping,0,48,Water Sports,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055,7,Fan Shop,40.87154007,-74.12263489,Pacific Asia,Baguio City,Filipinas,6,10,0.05,199.99,0,1,199.99,189.99,0,Southeast Asia,Cordillera,PENDING_PAYMENT,Pelican Sunstream 100 Kayak,199.99,Standard Class
TRANSFER,3,2,46.97,161.97,Late delivery,1,17,Cleats,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055,4,Apparel,40.87154007,-74.12263489,LATAM,Chihuahua,México,6,18,0.1,59.99,0.29,3,179.97,161.97,46.97,Central America,Chihuahua,PENDING,Perfect Fitness Perfect Rip Deck,59.99,Second Class
TRANSFER,3,2,45.35,167.96,Late delivery,1,29,Shop By Sport,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055,5,Golf,40.87154007,-74.12263489,LATAM,Chihuahua,México,6,31.99,0.16,39.99,0.27,5,199.95,167.96,45.35,Central America,Chihuahua,PENDING,Under Armour Girls' Toddler Spine Surge Runni,39.99,Second Class
PAYMENT,3,4,-63.64,82.97,Advance shipping,0,46,Indoor/Outdoor Games,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055,7,Fan Shop,40.87154007,-74.12263489,Pacific Asia,Baguio City,Filipinas,6,16.99,0.17,49.98,-0.77,2,99.96,82.97,-63.64,Southeast Asia,Cordillera,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Standard Class
PAYMENT,3,4,38.52,81.97,Advance shipping,0,46,Indoor/Outdoor Games,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055,7,Fan Shop,40.87154007,-74.12263489,Pacific Asia,Baguio City,Filipinas,6,17.99,0.18,49.98,0.47,2,99.96,81.97,38.52,Southeast Asia,Cordillera,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Standard Class
TRANSFER,3,2,50.38,209.92,Late delivery,1,46,Indoor/Outdoor Games,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055,7,Fan Shop,40.87154007,-74.12263489,LATAM,Chihuahua,México,6,39.98,0.16,49.98,0.24,5,249.9,209.92,50.38,Central America,Chihuahua,PENDING,O'Brien Men's Neoprene Life Vest,49.98,Second Class
TRANSFER,6,4,36.96,127.45,Late delivery,1,46,Indoor/Outdoor Games,Passaic,EE. UU.,Mary,6,Smith,Consumer,NJ,3151 Sleepy Quail Promenade,7055,7,Fan Shop,40.87154007,-74.12263489,LATAM,Cancún,México,6,22.49,0.15,49.98,0.29,3,149.94,127.45,36.96,Central America,Quintana Roo,PROCESSING,O'Brien Men's Neoprene Life Vest,49.98,Standard Class
DEBIT,4,4,45.82,97.49,Shipping on time,0,18,Men's Footwear,Caguas,Puerto Rico,Melissa,7,Wilcox,Corporate,PR,9453 High Concession,725,4,Apparel,18.35909462,-66.07995606,Europe,Rugby,Reino Unido,7,32.5,0.25,129.99,0.47,1,129.99,97.49,45.82,Northern Europe,Inglaterra,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class
DEBIT,3,4,42.25,129.99,Advance shipping,0,18,Men's Footwear,Caguas,Puerto Rico,Melissa,7,Wilcox,Corporate,PR,9453 High Concession,725,4,Apparel,18.35909462,-66.07995606,Europe,Krefeld,Alemania,7,0,0,129.99,0.33,1,129.99,129.99,42.25,Western Europe,Renania del Norte-Westfalia,ON_HOLD,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class
